Activity Master: Activity Master Number,Zone,Activity Code,Activity Name,Activity Name (Arabic),Status,Minimum Share Capital,License Type,License Type (Arabic),Is Not Allowed for Coworking(ESR),RAKEZ HSE Risk Classification,Compliance Risk Rating,Is Special,Activity Price,Activity Group,Activity Group (Arabic),Segment Name English,Segment Name Arabic,Description,Description (Arabic),Qualification Requirement,Documents Required
AM-04761,Freezone,501002,"Buses, Trucks Trading",تجارة الحافلات والشاحنات والقاطرات,Active,,Commercial,تجارية,-,Low,,Standard,,Trading in motor vehicles and motorcysles,تجاره السيارات والدراجات,,,"Includes reselling different passenger buses and trucks and trailers for transporting goods, liquid substances, building materials…etc",هي اعادة بيع الحافلات (الباصات) المعدة لنقل الركاب بشكل جماعي باختلاف حجومها وكذلك القاطرات والشاحنات المخصصة لنقل البضائع ومواد البناء وصهاريج نقل المواد السائلة وغيرها من سيارات ومركبات النقل باختلاف حجومها وأنواعها.,,
AM-07441,Non-Freezone,4530002,Buses and Trucks New Spare Parts Trading,تجارة قطع الغيار الجديدة للحافلات والشاحنات,Active,,Commercial,تجاريــــــــة,-,Low,,Standard,,Vehicle spare parts trade,تجارة قطع غيار المركبات,General Trading,التجارة العامة,,,,
AM-01223,Non-Freezone,4530002,Buses and Trucks New Spare Parts Trading,تجارة قطع الغيار الجديدة للحافلات والشاحنات,Inactive,,Commercial,تجارية,-,Low,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,
AM-07424,Non-Freezone,4510102,Buses and Trucks Trading,تجارة الحافلات والشاحنات,Active,,Commercial,تجاريــــــــة,-,Low,,Standard,,Trade cars and bicycles,تجارة السيارات والدراجات,,,,,,
AM-01344,Non-Freezone,4510102,Buses and Trucks Trading,تجارة الحافلات والشاحنات,Inactive,,Commercial,تجارية,-,Low,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,
AM-07443,Non-Freezone,4530004,Buses and Trucks Used Spare Parts Trading,تجارة قطع الغيار المستعملة للحافلات والشاحنات,Active,,Commercial,تجاريــــــــة,-,Low,,Standard,,Trade in used cars and bicycles,تجارة السيارات و الدراجات المستعملة,Trade in used cars and bicycles,تجارة السيارات و الدراجات المستعملة,,,,
AM-01225,Non-Freezone,4530004,Buses and Trucks Used Spare Parts Trading,تجارة قطع الغيار المستعملة للحافلات والشاحنات,Inactive,,Commercial,تجارية,-,Low,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,
AM-07716,Non-Freezone,2910002,Buses Manufacturing,صناعة الحافلات,Active,"150,000",Industrial,صنــــــــاعيـــة,-,Low,,Standard,,"Manufacturing cars, spare parts, vehicles and bicycles",صناعة السيارات وقطع غيارها والمركبات والدراجات,"Manufacturing cars, spare parts, vehicles and bicycles",صناعة السيارات وقطع غيارها والمركبات والدراجات,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-04269,Non-Freezone,7710003,Buses Rental,تأجير الحافلات,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,RAK Transport Authority
AM-01686,Non-Freezone,100501002,Buses Trading,تجارة الحافلات والشاحنات والقاطرات,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,
AM-04036,Freezone,RAKEZ /2017/47,Business Analysis,تحليل الأعمال,Active,,Individual / Professional,فردية / مهنية,-,Low,,Standard,,Others fields,مجالات أخرى,,,Professional Individual Works,مهام فردية مهنية,,
AM-08763,Freelance Permit,941273,BUSINESS ANALYST,محلل أعمال,Active,,Freelance Permit,تصريح حر,-,Low,,,,General,عام,,,,,,
AM-08765,Freelance Permit,11235,BUSINESS ASSURANCE ANALYST,محلل مطابقة الاعمال,Active,,Freelance Permit,تصريح حر,-,Low,,,,General,عام,,,,,,
AM-06541,Non-Freezone,9900905,Business Aviation Association,منظمة الطيران التجارى,Inactive,,Professional,مهنية,-,,,Standard,,Professional1,,,,,,,
AM-01726,Freezone,7010-17,Business Center,مركز الأعمال,Active,,Services,خدمية,-,Low,,Standard,,Real estate,العقارات,Integrated administrative services activities for offices,أنشطة الخدمات الإدارية المتكاملة للمكاتب,"Includes complexes comprising furnished and technically supported offices in order to become professional business environment, the support involves reception, telephone answering and mail, internet access, meeting rooms, secretarial services, airlines booking, hotel reservation, it includes also document processing and clearing for the businessmen located in the center, office occupancy in the center should not exceed four years",هو عبارة عن مجمع يضم العديد من المساحات المكتبية التي يتم تأثيثها و تزويدها بالدعم الفني والخدمات المكتبية لتصبح بيئة مناسبة للممارسة الأعمال، ويوفر المجمع خدمات الإستقبال، الخدمات الهاتفية والبريدية، الإنترنت، غرف الإجتماعات، خدمات السكرتارية بما في ذلك ، ترتيب حجوزات السفر والانتقال في الطائرات أو السيارات أو الاقامة في الفنادق كما يشمل متابعة وإنجاز المعاملات التجارية الخاصة بالمنشآت المستاجرة بالمركز لدى الهيئات والمؤسسات الحكومية وغيرها، يشترط ألا تزيد مدة بقاء المنشأة داخل المركز عن 4 أعوام.,,this activity is not allowed for Coworking
AM-06504,Non-Freezone,6810007,Business Center,مركز الأعمال,Inactive,,Commercial,تجارية,-,Low,,Standard,,Commercial1,,,,,,,this activity is not allowed for Coworking
AM-03595,Freezone,RAKEZ /2017/54,Business Coaching,التدريب على الأعمال التجارية,Active,,Individual / Professional,فردية / مهنية,-,Low,,Standard,,Others fields,مجالات أخرى,,,Professional Individual Works,مهام فردية مهنية,,
AM-02614,Non-Freezone,100911101,Business Council,مجلس لتنمية علاقات العمل,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-01712,Non-Freezone,100511001,"Business Coupons Issuing,Selling",إصدار بطاقات المتاجرة وبيعها وإستبدالها,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,
AM-02633,Freezone,100016,Business Events Management,إدارة الفعاليات التجارية,Inactive,,Media,اعلام,-,High,,Standard,,Event Management,إدارة الفعاليالت,,,Business Events Management,إدارة الفعاليات التجارية,,Media Brief Form
AM-06782,Freezone,100016,Business Events Management,إدارة الفعاليات التجارية,Active,,Media,اعلام,-,High,,Standard,,Event Management Services,خدمات إدارة الفعاليات,,,Business Events Management,إدارة الفعاليات التجارية,,Media Brief Form
AM-07174,Non-Freezone,1811001,Business Forms and Other Commercial Printing,طباعة الاستمارات والمواد التجارية المطبوعة الأخرى,Active,"150,000",Industrial,صنــــــــاعيـــة,-,Low,,Standard,,Publishing and printing services,خدمات النشر والطباعة,Publishing and printing services,خدمات النشر والطباعة,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-06542,Non-Freezone,7020029,Business Incubator,مركز حاضنات الأعمال,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial1,,,,,,,
AM-06437,Freezone,749961,Business Incubator,مركز حاضنات الأعمال,Inactive,,Services,خدمية,-,,,Standard,,"Consultancy -D- management, information and marketing",الاستشارات - الادارة والمعلومات,,,"It’s a venue designed to house start-up entrepreneurs and enterprises where they can enjoy an array of business support and guidance, this involves the provision of office spaces and technical and administrative services, innovative ideas and counseling, marketing and business potentials planning, bank finance choices, coordinate interaction with the business community outside the incubator to build relations.",مركز حاضنات الأعمال هو عبارة عن مجمع يعد ليصبح مقرا لرواد الأعمال الجدد حيث يتم تقديم كافة أشكال الدعم والمساندة حتى تقف تلك الأعمال على أقدامها، ويشمل ذلك توفير مرافق جاهزة للأشغال مع الدعم الفني والمكتبي، تقديم المشورة والأفكار التطويرية، إعداد خطط التسويق والأعمال، توفير خيارات التمويل، تنسيق التفاعل مع مجتمع الأعمال خارج الحاضنة لبناء علاقات تجارية.,,
AM-05735,Non-Freezone,9411002,Businessmen Forum,منتدى لرجال الأعمال,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-02615,Non-Freezone,100911103,Businessmen Forum,منتدى لرجال الأعمال,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,
AM-01318,Non-Freezone,8299004,Businessmen Services,الخدمات الأدارية لرجال الاعمال,Inactive,,Professional,مهنية,-,Low,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,
